planetId,drinkId,priceCredits,note
arcadia_prime,drink_house_ale,193,정찰제
arcadia_prime,drink_nebula_wine,151,정찰제
arcadia_prime,drink_phosphor_fizz,180,정찰제
solar_station,drink_house_ale,216,정찰제
solar_station,drink_nebula_wine,157,정찰제
solar_station,drink_phosphor_fizz,249,정찰제
minerva_deep,drink_house_ale,208,정찰제
minerva_deep,drink_nebula_wine,247,정찰제
minerva_deep,drink_phosphor_fizz,210,정찰제
vega_base,drink_house_ale,213,정찰제
vega_base,drink_nebula_wine,170,정찰제
vega_base,drink_phosphor_fizz,168,정찰제
eden_city,drink_house_ale,233,정찰제
eden_city,drink_nebula_wine,203,정찰제
eden_city,drink_phosphor_fizz,214,정찰제
iron_remnant,drink_house_ale,233,정찰제
iron_remnant,drink_nebula_wine,163,정찰제
iron_remnant,drink_phosphor_fizz,209,정찰제
draco_haven,drink_house_ale,197,정찰제
draco_haven,drink_nebula_wine,174,정찰제
draco_haven,drink_phosphor_fizz,234,정찰제
omega_hub,drink_house_ale,185,정찰제
omega_hub,drink_nebula_wine,178,정찰제
omega_hub,drink_phosphor_fizz,221,정찰제
sirius_border,drink_house_ale,217,정찰제
sirius_border,drink_nebula_wine,207,정찰제
sirius_border,drink_phosphor_fizz,224,정찰제
titan_ruins,drink_house_ale,203,정찰제
titan_ruins,drink_nebula_wine,201,정찰제
titan_ruins,drink_phosphor_fizz,163,정찰제
perseus_memorial,drink_house_ale,243,정찰제
perseus_memorial,drink_nebula_wine,177,정찰제
perseus_memorial,drink_phosphor_fizz,220,정찰제
crimson_base,drink_house_ale,203,정찰제
crimson_base,drink_nebula_wine,164,정찰제
crimson_base,drink_phosphor_fizz,245,정찰제
dark_haven,drink_house_ale,172,정찰제
dark_haven,drink_nebula_wine,176,정찰제
dark_haven,drink_phosphor_fizz,217,정찰제
blood_station,drink_house_ale,188,정찰제
blood_station,drink_nebula_wine,243,정찰제
blood_station,drink_phosphor_fizz,171,정찰제
shadow_market,drink_house_ale,200,정찰제
shadow_market,drink_nebula_wine,197,정찰제
shadow_market,drink_phosphor_fizz,216,정찰제
abyss_gate,drink_house_ale,209,정찰제
abyss_gate,drink_nebula_wine,167,정찰제
abyss_gate,drink_phosphor_fizz,250,정찰제
core_prime,drink_house_ale,213,정찰제
core_prime,drink_nebula_wine,199,정찰제
core_prime,drink_phosphor_fizz,250,정찰제
genesis_origin,drink_house_ale,154,정찰제
genesis_origin,drink_nebula_wine,177,정찰제
genesis_origin,drink_phosphor_fizz,182,정찰제
