,전함 종합능력 성능 평가 점수 기준 내림차순(최상위 우선) 정렬 리스트,,,,,,,,,,,
,,,,,,,,,,,,
index,전함 ID (id),전함 이름 (name),체력 (maxHp),쉴드 (maxShield),아머 (armor),공격 보너스,최종 기대 대미지,최대 속도,STR,DEX,SIZE,종합 능력 점수
1,npc_enemy_eternity_02,이터니티 감시함 02,"3,700","1,500",32,23,79.5,0.0220,46,24,2,"9,782.5"
2,player_wave_ship,웨이브 디펜스 전함,"3,700","1,500",32,23,79.5,0.0238,38,26,2,"9,761.5"
3,npc_enemy_eternity_01,이터니티 영원함 01,"3,400","1,350",30,25,75.5,0.0240,44,28,2,"9,192.5"
4,npc_enemy_eternity_03,이터니티 요격함 03,"3,200","1,200",29,26,66.5,0.0265,42,30,2,"8,515.0"
5,npc_enemy_core_02,코어 감시함 02,"3,200","1,250",29,21,67.0,0.0218,40,23,2,"8,424.0"
6,npc_enemy_core_01,코어 수문장함 01,"2,900","1,100",27,23,64.0,0.0238,38,26,2,"7,864.0"
7,npc_enemy_core_03,코어 요격함 03,"2,700",980,26,24,57.0,0.0260,37,28,2,"7,296.0"
8,npc_enemy_abyss_02,어비스 심연함 02,"1,980",900,25,17,51.5,0.0215,31,20,1,"5,990.0"
9,npc_enemy_nightfall_03,나이트폴 포위함 03,"1,880",840,24,17,50.5,0.0213,30,19,1,"5,757.0"
10,npc_enemy_abyss_01,어비스 문막기함 01,"1,850",820,24,18,49.5,0.0234,30,22,1,"5,713.5"
11,npc_enemy_nightfall_01,나이트폴 군주함 01,"1,750",760,23,18,48.5,0.0232,29,21,1,"5,480.5"
12,npc_enemy_abyss_03,어비스 차단함 03,"1,760",760,23,19,43.5,0.0254,29,23,1,"5,356.5"
13,npc_enemy_blood_02,블러드 감독함 02,"1,720",760,23,16,47.5,0.0212,28,18,1,"5,345.5"
14,npc_enemy_nightfall_02,나이트폴 강습함 02,"1,660",700,22,19,42.5,0.0252,28,23,1,"5,128.5"
15,npc_enemy_blood_01,블러드 지휘함 01,"1,600",680,22,17,46.5,0.0230,27,20,1,"5,113.5"
16,npc_enemy_dark_02,다크 차단함 02,"1,620",700,22,15,46.5,0.0214,27,18,1,"5,099.5"
17,npc_enemy_dark_01,다크 리프트함 01,"1,500",620,21,16,44.5,0.0232,26,20,1,"4,832.5"
18,npc_enemy_blood_03,블러드 요격함 03,"1,520",610,21,18,40.5,0.0254,26,22,1,"4,761.5"
19,npc_enemy_shadow_01,섀도우 암시장함 01,"1,450",600,21,16,44.5,0.0231,25,20,1,"4,753.0"
20,npc_enemy_shadow_02,섀도우 그림자함 02,"1,380",720,20,14,41.0,0.0208,24,21,1,"4,638.0"
21,npc_enemy_dark_03,다크 추격함 03,"1,420",560,20,17,39.5,0.0252,25,22,1,"4,525.5"
22,npc_enemy_crimson_02,크림슨 차단함 02,"1,450",580,21,14,40.0,0.0215,25,18,1,"4,513.5"
23,npc_enemy_shadow_03,섀도우 은폐함 03,"1,360",560,20,17,39.5,0.0250,24,22,1,"4,459.5"
24,npc_enemy_crimson_01,크림슨 전열함 01,"1,350",520,20,15,38.0,0.0230,24,20,1,"4,289.0"
25,npc_enemy_crimson_03,크림슨 포식함 03,"1,280",470,19,16,37.5,0.0250,23,21,1,"4,156.5"
26,npc_enemy_perseus_02,페르세우스 수집함 02,"1,120",480,20,11,34.0,0.0210,21,16,0,"3,696.0"
27,npc_enemy_perseus_01,페르세우스 약탈함 01,"1,050",430,18,13,31.0,0.0226,21,18,0,"3,489.0"
28,npc_enemy_perseus_03,페르세우스 요격함 03,990,390,17,14,31.0,0.0245,20,19,0,"3,395.5"
29,npc_enemy_titan_03,타이탄 차단함 03,"1,040",440,19,11,29.5,0.0208,20,16,0,"3,389.5"
30,npc_enemy_sirius_03,시리우스 호위함 03,990,420,19,11,29.5,0.0210,20,16,0,"3,316.5"
31,npc_enemy_titan_01,타이탄 강탈함 01,980,400,18,12,30.0,0.0220,20,17,0,"3,315.0"
32,npc_enemy_titan_02,타이탄 추적함 02,930,460,17,10,30.5,0.0202,18,18,0,"3,285.5"
33,npc_enemy_sirius_01,시리우스 약탈함 01,940,380,18,12,30.0,0.0225,20,17,0,"3,253.5"
34,npc_enemy_sirius_02,시리우스 침투함 02,900,340,17,13,29.0,0.0240,19,18,0,"3,143.0"
35,npc_enemy_helios_02,헬리오스 코일함 02,900,370,18,10,28.5,0.0210,19,15,0,"3,086.5"
36,npc_enemy_helios_01,헬리오스 강습함 01,860,330,17,11,27.5,0.0222,19,16,0,"2,979.5"
37,npc_enemy_helios_03,헬리오스 추격함 03,820,310,16,12,28.0,0.0242,18,17,0,"2,948.0"
38,npc_enemy_omega_02,오메가 차단함 02,840,340,17,9,27.5,0.0208,18,15,0,"2,914.5"
39,npc_enemy_omega_01,오메가 약탈함 01,800,300,16,10,25.5,0.0220,18,16,0,"2,772.5"
40,npc_enemy_omega_03,오메가 사냥함 03,760,280,15,11,24.0,0.0240,17,17,0,"2,671.0"
41,npc_enemy_iron_02,아이언 차단함 02,670,240,16,9,22.5,0.0215,16,14,0,"2,423.0"
42,npc_enemy_iron_01,아이언 약탈함 01,640,220,15,9,21.5,0.0220,16,14,0,"2,321.5"
43,npc_enemy_eden_01,뉴 에덴 순양함 01,720,240,14,9,17.0,0.0218,15,14,0,"2,247.0"
44,npc_enemy_iron_03,아이언 사냥함 03,610,210,14,10,19.5,0.0230,15,15,0,"2,219.5"
45,npc_vega_red_10,베가 레드 요격 10,498,148,12,10,23.0,0.0252,14,14,0,"2,126.6"
46,npc_enemy_arcadia_02,아르카디아 차단함 02,540,190,14,8,20.5,0.0230,14,14,0,"2,110.5"
47,npc_blue_fleet_1,블루전함1,460,200,15,9,21.5,0.0196,14,14,0,"2,095.5"
48,Player_npc_red_fleet_1,파이터 Mk.I,520,180,14,8,20.5,0.0238,14,14,0,"2,082.5"
49,npc_red_fleet_1,레드전함1,520,180,14,8,20.5,0.0238,14,14,0,"2,082.5"
50,npc_vega_red_11,베가 레드 요격 11,516,184,14,8,20.5,0.0234,14,14,0,"2,081.3"
51,npc_vega_red_7,베가 레드 요격 7,518,182,14,8,20.5,0.0234,14,14,0,"2,080.9"
52,npc_neweden_red_7,뉴에덴 레드 7,502,158,13,9,21.5,0.0240,14,14,0,"2,079.1"
53,npc_vega_red_6,베가 레드 요격 6,515,180,14,8,20.5,0.0235,14,14,0,"2,076.0"
54,npc_vega_red_5,베가 레드 요격 5,505,152,13,9,21.5,0.0241,14,14,0,"2,075.4"
55,npc_vega_test_ship_b,베가 테스트함B,485,195,13,8,21.5,0.0208,14,14,0,"2,070.5"
56,npc_vega_red_4,베가 레드 요격 4,500,150,13,9,21.5,0.0242,14,14,0,"2,068.5"
57,npc_mock_pvp_ship_12,모의전함 12,506,190,14,8,20.5,0.0212,14,14,0,"2,067.5"
58,npc_mock_pvp_ship_03,모의전함 03,510,185,14,8,20.5,0.0212,14,14,0,"2,065.5"
59,npc_vega_test_ship_a,베가 테스트함A,510,175,14,8,20.5,0.0235,14,14,0,"2,065.0"
60,npc_vega_blue_9,베가 블루 요호 9,508,186,14,8,20.5,0.0212,14,14,0,"2,064.7"
61,npc_neweden_blue_7,뉴에덴 블루 7,482,192,13,8,21.5,0.0206,14,14,0,"2,062.9"
